time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
110,0.00670407216676276,13.99351371663391,13.854785650631358,inf,0,0,0,0,2,2,1,1
111,0.006406666659158353,13.99351371663391,13.854794523251513,inf,0,0,0,0,2,2,1,1
112,0.006146713430522038,13.99351371663391,13.854807970303714,inf,0,0,0,0,3,2,2,1
113,0.0059635776848423385,13.99351371663391,13.854823817007453,inf,0,0,0,0,2,2,1,1
114,0.0058076082057075765,13.99351371663391,13.854840836351967,inf,0,0,0,0,2,2,1,1
115,0.005545041646106299,13.99351371663391,13.854859918982005,inf,0,0,0,0,2,1,2,0
116,0.005370655455795183,13.99351371663391,13.854882331625205,inf,0,0,0,0,2,1,2,0
117,0.00523477334644837,13.99351371663391,13.854899946413045,inf,0,0,0,0,4,2,3,1
118,0.005052389864892561,13.99351371663391,13.85491766529741,inf,0,0,0,0,4,2,3,1
119,0.00484697658989223,13.99351371663391,13.854935803877826,inf,0,0,0,0,2,1,2,0
120,0.004659601034819212,13.99351371663391,13.85495156937214,inf,0,0,0,0,4,2,3,1
121,0.004487857787157414,13.99351371663391,13.854964354226418,inf,0,0,0,0,4,2,3,1
122,0.004330841324316349,13.99351371663391,13.854974981579154,inf,0,0,0,0,3,2,2,1
123,0.004134724595967301,13.99351371663391,13.854983321014505,inf,0,0,0,0,2,1,2,0
124,0.003965731961779816,13.99351371663391,13.854990595802562,inf,0,0,0,0,4,3,2,1
125,0.003818649058003633,13.99351371663391,13.854994284826756,inf,0,0,0,0,2,2,1,1
126,0.0036246334892793795,13.99351371663391,13.854996090999366,inf,0,0,0,0,3,2,2,1
127,0.003407059294026205,13.99351371663391,13.85499754647729,inf,0,0,0,0,2,2,1,1
128,0.0031578987552338816,13.99351371663391,13.854996969396288,inf,0,0,0,0,3,2,2,1
129,0.0029867371156445457,13.99351371663391,13.854995295017433,inf,0,0,0,0,3,2,2,1
130,0.0027540366147304107,13.99351371663391,13.854990482042124,inf,0,0,0,0,4,2,3,1
131,0.0025708727883503872,13.99351371663391,13.854987506835855,inf,0,0,0,0,4,2,3,1
132,0.002392490958450822,13.99351371663391,13.854981896634042,inf,0,0,0,0,3,2,2,1
133,0.002176594603839582,13.99351371663391,13.854976745885434,inf,0,0,0,0,3,2,2,1
134,0.0020182988152117587,13.99351371663391,13.854972192518469,inf,0,0,0,0,4,3,2,1
135,0.0018586455152283493,13.99351371663391,13.854966021806455,inf,0,0,0,0,3,3,1,1
136,0.001742862183002826,13.99351371663391,13.854961009778973,inf,0,0,0,0,3,2,2,1
137,0.0016419399694690515,13.99351371663391,13.854955452670515,inf,0,0,0,0,3,1,3,0
138,0.00153369162463899,13.99351371663391,13.854950688495338,inf,0,0,0,0,4,2,3,1
139,0.0014370718846302261,13.99351371663391,13.854946722053256,inf,0,0,0,0,3,2,2,1
140,0.0012833148724684402,13.99351371663391,13.854942916029383,inf,0,0,0,0,3,2,2,1
141,0.0011783320296779969,13.99351371663391,13.85494089631651,inf,0,0,0,0,4,3,2,1
142,0.001080582198248648,13.99351371663391,13.854937609858204,inf,0,0,0,0,4,3,2,1
143,0.000982259026377623,13.99351371663391,13.854935524921489,inf,0,0,0,0,2,2,1,1
144,0.0009044853933777434,13.99351371663391,13.85493404461681,inf,0,0,0,0,3,2,2,1
145,0.0008092123443564497,13.99351371663391,13.854932635867813,inf,0,0,0,0,3,1,4,0
146,0.00073780409059042,13.99351371663391,13.854932300855566,inf,0,0,0,0,4,2,3,1
147,0.0006748098021001584,13.99351371663391,13.854931611025814,inf,0,0,0,0,4,3,2,1
148,0.0005480688177575961,13.99351371663391,13.854931462203698,inf,0,0,0,0,4,2,3,1
149,0.00044355095003707014,13.99351371663391,13.854932894709766,inf,0,0,0,0,5,3,3,1
150,0.0003128392975834773,13.99351371663391,13.854933127690408,inf,0,0,0,0,4,2,3,1
151,0.0001912786566930811,13.99351371663391,13.854934388805509,inf,0,0,0,0,3,2,2,1
152,0.00010764556375848184,13.99351371663391,13.854935206913089,inf,0,0,0,0,4,2,2,2
153,3.903788796469227e-05,13.99351371663391,13.854935596643093,inf,0,0,0,0,3,3,1,1
154,1.486967566340173e-05,13.99351371663391,13.854936310758333,inf,0,0,0,0,4,3,2,1
155,-5.449056971109157e-05,13.99351371663391,13.854936421876852,inf,0,0,0,0,5,4,2,1
156,-1.56152067143524e-05,13.99351371663391,13.854937958176004,inf,0,0,0,0,5,3,3,1
157,-5.138129239309657e-05,13.99351371663391,13.854936750093868,inf,0,0,0,0,5,3,3,1
158,-9.285549359800446e-05,13.99351371663391,13.854938480899943,inf,0,0,0,0,3,2,2,1
159,-0.00012756289898119104,13.99351371663391,13.854939051452085,inf,0,0,0,0,4,2,2,2
