time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
146,-5.896292181263676e-05,15.86860845131533,15.672743753939484,inf,0,0,0,0,4,3,2,1
147,-9.210718497892598e-05,15.86860845131533,15.672744438140553,inf,0,0,0,0,4,2,2,2
148,-0.0001469392880161068,15.86860845131533,15.672744295895576,inf,0,0,0,0,5,2,4,2
149,-0.0001977587275240451,15.86860845131533,15.67274527563933,inf,0,0,0,0,5,4,2,1
150,-0.00025496136095213683,15.86860845131533,15.672746072075531,inf,0,0,0,0,6,2,8,1
151,-0.0003213054508573119,15.86860845131533,15.672747219417792,inf,0,0,0,0,5,3,3,1
152,-0.0004107058915042034,15.86860845131533,15.672748546430741,inf,0,0,0,0,5,3,3,1
153,-0.0003915859492673216,15.86860845131533,15.67275021473665,inf,0,0,0,0,4,2,2,2
154,-0.00044976665118751785,15.86860845131533,15.672749662026192,inf,0,0,0,0,5,3,2,2
155,-0.000488874199552613,15.86860845131533,15.672752020269485,inf,0,0,0,0,6,1,12,0
156,-0.0005284163205046813,15.86860845131533,15.672752815858287,inf,0,0,0,0,5,4,2,1
157,-0.0006059413006917877,15.86860845131533,15.6727538602456,inf,0,0,0,0,5,2,3,2
158,-0.0006277045439520603,15.86860845131533,15.672755466406969,inf,0,0,0,0,5,3,3,1
159,-0.0006153173121481114,15.86860845131533,15.672755452666728,inf,0,0,0,0,5,3,2,2
160,-0.0005862667677736337,15.86860845131533,15.672755510923436,inf,0,0,0,0,5,3,2,2
161,-0.000593850553633731,15.86860845131533,15.672755574650234,inf,0,0,0,0,8,2,15,1
162,-0.0005845876842752906,15.86860845131533,15.672756411245551,inf,0,0,0,0,6,2,8,1
163,-0.0005522030190895343,15.86860845131533,15.672756275118058,inf,0,0,0,0,5,2,3,2
164,-0.000573737164697306,15.86860845131533,15.672755849786752,inf,0,0,0,0,5,3,3,1
165,-0.0005749125706260303,15.86860845131533,15.67275667606956,inf,0,0,0,0,5,3,2,2
166,-0.0005653722727377901,15.86860845131533,15.672756195562485,inf,0,0,0,0,8,2,12,1
167,-0.000601659467416306,15.86860845131533,15.672755768547422,inf,0,0,0,0,6,5,2,1
168,-0.0006442496586276072,15.86860845131533,15.672756294647229,inf,0,0,0,0,5,2,4,1
169,-0.0006794679122554975,15.86860845131533,15.672756191691835,inf,0,0,0,0,6,2,4,3
170,-0.0007048111413995232,15.86860845131533,15.672755866059484,inf,0,0,0,0,5,3,2,2
171,-0.0007061574348693575,15.86860845131533,15.672755470597204,inf,0,0,0,0,7,2,8,1
172,-0.0007459536882423051,15.86860845131533,15.672754784451248,inf,0,0,0,0,6,5,2,1
173,-0.0007385014955176839,15.86860845131533,15.672755151556498,inf,0,0,0,0,6,3,4,1
174,-0.0008060420731095451,15.86860845131533,15.672754125577995,inf,0,0,0,0,7,3,4,3
